MemTotal:          60624 kB
MemFree:           38608 kB
Buffers:              24 kB
Cached:            12204 kB
SwapCached:            0 kB
Active:             4480 kB
Inactive:          10368 kB
Active(anon):       2636 kB
Inactive(anon):        0 kB
Active(file):       1844 kB
Inactive(file):    10368 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:          2628 kB
Mapped:            10424 kB
Slab:               3868 kB
SReclaimable:       1752 kB
SUnreclaim:         2116 kB
PageTables:          252 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:       30312 kB
Committed_AS:     151956 kB
VmallocTotal:     720896 kB
VmallocUsed:        2912 kB
VmallocChunk:     716236 kB
